"Date","country","Doses_admin","People_at_least_one_dose","Population","VaxxedPercentage","VaxxedOncePercentage","TotalDosesPerIndividual"
"2022-03-01","Afghanistan",5535254,4907058,38928341,12.6053612199914,12.6053612199914,0.142190852674662
"2022-03-01","Albania",2702638,1269746,2877800,44.1221071651956,44.1221071651956,0.939133365765515
"2022-03-01","Algeria",13631683,7456361,43851043,17.0038395665982,17.0038395665982,0.310863369886094
"2022-03-01","Andorra",151284,57805,77265,74.8139519834336,74.8139519834336,1.95798874005048
"2022-03-01","Angola",16259606,10591264,32866268,32.2253320638656,32.2253320638656,0.494720179364447
"2022-03-01","Antigua and Barbuda",124726,63582,97928,64.9272935217711,64.9272935217711,1.27365002859244
"2022-03-01","Argentina",94398325,40836115,45195777,90.3538288544082,90.3538288544082,2.08865365894694
"2022-03-01","Armenia",2042616,1100694,NA,NA,NA,NA
"2022-03-01","Australia",54065507,22055898,25459700,86.6306280121133,86.6306280121133,2.12357203737672
"2022-03-01","Austria",18167428,6856363,9006400,76.1276758749334,76.1276758749334,2.01716868004974
"2022-03-01","Azerbaijan",12720225,5280393,10139175,52.0791188632211,52.0791188632211,1.25456213153437
"2022-03-01","Bahamas",327515,163061,393248,41.4651822768329,41.4651822768329,0.832845939458052
"2022-03-01","Bahrain",3375361,1227305,1701583,72.1272485679511,72.1272485679511,1.98365933369104
"2022-03-01","Bangladesh",209937805,122689831,164689383,74.4977173179403,74.4977173179403,1.27475008513451
"2022-03-01","Barbados",309562,160114,287371,55.7168259845287,55.7168259845287,1.07722073556483
"2022-03-01","Belarus",10649534,5528298,9449321,58.5047116083791,58.5047116083791,1.12701579298661
"2022-03-01","Belgium",25070637,9231586,11589616,79.6539419425113,79.6539419425113,2.16319824573998
"2022-03-01","Belize",458351,234370,397621,58.943063872381,58.943063872381,1.15273338178819
"2022-03-01","Benin",2788620,2591583,NA,NA,NA,NA
"2022-03-01","Bhutan",1592652,596568,NA,NA,NA,NA
"2022-03-01","Bolivia",12589125,6930367,11673029,59.3707682898757,59.3707682898757,1.0784797159332
"2022-03-01","Bosnia and Herzegovina",1924950,943394,NA,NA,NA,NA
"2022-03-01","Botswana",1422523,1422523,NA,NA,NA,NA
"2022-03-01","Brazil",392763634,177742258,212559409,83.6200377278994,83.6200377278994,1.84778286620095
"2022-03-01","Brunei",1041610,407674,NA,NA,NA,NA
"2022-03-01","Bulgaria",4300503,2073249,6948445,29.8375967572601,29.8375967572601,0.618915886935854
"2022-03-01","Burkina Faso",2320456,2113440,NA,NA,NA,NA
"2022-03-01","Burma",44506755,23586822,54409794,43.3503240243843,43.3503240243843,0.817991610113429
"2022-03-01","Burundi",9648,7995,NA,NA,NA,NA
"2022-03-01","Cabo Verde",704843,352330,NA,NA,NA,NA
"2022-03-01","Cambodia",35421650,14594605,16718971,87.2936797366297,87.2936797366297,2.11865012505853
"2022-03-01","Cameroon",1267525,1068604,NA,NA,NA,NA
"2022-03-01","Canada",81240344,32525071,37855702,85.9185519793029,85.9185519793029,2.14605303053157
"2022-03-01","Central African Republic",855735,775176,NA,NA,NA,NA
