"country","Date","Doses_admin","People_at_least_one_dose","Population","VaxxedPercentage","VaxxedOncePercentage","TotalDosesPerIndividual","state legitimacy","region","freedom_status","FOE","civil_liberties"
"Afghanistan","2022-03-01",5535254,4907058,38928341,12.6053612199914,12.6053612199914,0.142190852674662,9.2,"Asia","NF",4,9
"Albania","2022-03-01",2702638,1269746,2877800,44.1221071651956,44.1221071651956,0.939133365765515,5.2,"Europe","PF",13,39
"Algeria","2022-03-01",13631683,7456361,43851043,17.0038395665982,17.0038395665982,0.310863369886094,7.9,"Africa","NF",6,22
"Andorra","2022-03-01",151284,57805,77265,74.8139519834336,74.8139519834336,1.95798874005048,NA,"Europe","F",14,55
"Angola","2022-03-01",16259606,10591264,32866268,32.2253320638656,32.2253320638656,0.494720179364447,8.3,"Africa","NF",7,20
"Antigua and Barbuda","2022-03-01",124726,63582,97928,64.9272935217711,64.9272935217711,1.27365002859244,3.9,"Americas","F",15,52
"Argentina","2022-03-01",94398325,40836115,45195777,90.3538288544082,90.3538288544082,2.08865365894694,3.7,"Americas","F",15,49
"Armenia","2022-03-01",2042616,1100694,NA,NA,NA,NA,6.6,"Eurasia","PF",9,32
"Australia","2022-03-01",54065507,22055898,25459700,86.6306280121133,86.6306280121133,2.12357203737672,0.4,"Asia","F",15,56
"Austria","2022-03-01",18167428,6856363,9006400,76.1276758749334,76.1276758749334,2.01716868004974,0.6,"Europe","F",14,56
"Azerbaijan","2022-03-01",12720225,5280393,10139175,52.0791188632211,52.0791188632211,1.25456213153437,9.1,"Eurasia","NF",2,7
"Bahamas","2022-03-01",327515,163061,393248,41.4651822768329,41.4651822768329,0.832845939458052,2.1,"Americas","F",15,53
"Bahrain","2022-03-01",3375361,1227305,1701583,72.1272485679511,72.1272485679511,1.98365933369104,8.1,"Middle East","NF",2,10
"Bangladesh","2022-03-01",209937805,122689831,164689383,74.4977173179403,74.4977173179403,1.27475008513451,7.4,"Asia","PF",6,24
"Barbados","2022-03-01",309562,160114,287371,55.7168259845287,55.7168259845287,1.07722073556483,1.3,"Americas","F",16,57
"Belarus","2022-03-01",10649534,5528298,9449321,58.5047116083791,58.5047116083791,1.12701579298661,9.3,"Eurasia","NF",1,6
"Belgium","2022-03-01",25070637,9231586,11589616,79.6539419425113,79.6539419425113,2.16319824573998,0.9,"Europe","F",15,57
"Belize","2022-03-01",458351,234370,397621,58.943063872381,58.943063872381,1.15273338178819,3.7,"Americas","F",16,53
"Benin","2022-03-01",2788620,2591583,NA,NA,NA,NA,5.3,"Africa","PF",14,42
"Bhutan","2022-03-01",1592652,596568,NA,NA,NA,NA,2.8,"Asia","PF",9,32
"Bolivia","2022-03-01",12589125,6930367,11673029,59.3707682898757,59.3707682898757,1.0784797159332,6.7,"Americas","PF",14,39
"Bosnia and Herzegovina","2022-03-01",1924950,943394,NA,NA,NA,NA,6.3,"Europe","PF",10,34
"Botswana","2022-03-01",1422523,1422523,NA,NA,NA,NA,2.5,"Africa","F",12,44
"Brazil","2022-03-01",392763634,177742258,212559409,83.6200377278994,83.6200377278994,1.84778286620095,6.7,"Americas","F",13,42
"Brunei","2022-03-01",1041610,407674,NA,NA,NA,NA,NA,"Asia","NF",6,21
"Bulgaria","2022-03-01",4300503,2073249,6948445,29.8375967572601,29.8375967572601,0.618915886935854,3.4,"Europe","F",13,46
"Burkina Faso","2022-03-01",2320456,2113440,NA,NA,NA,NA,6.4,"Africa","PF",11,30
"Burundi","2022-03-01",9648,7995,NA,NA,NA,NA,9.4,"Africa","NF",4,10
"Cabo Verde","2022-03-01",704843,352330,NA,NA,NA,NA,3.8,"Africa","F",16,54
"Cambodia","2022-03-01",35421650,14594605,16718971,87.2936797366297,87.2936797366297,2.11865012505853,8.8,"Asia","NF",7,19
"Cameroon","2022-03-01",1267525,1068604,NA,NA,NA,NA,8.7,"Africa","NF",4,9
"Canada","2022-03-01",81240344,32525071,37855702,85.9185519793029,85.9185519793029,2.14605303053157,0.4,"Americas","F",15,58
"Central African Republic","2022-03-01",855735,775176,NA,NA,NA,NA,9.2,"Africa","NF",3,4
"Chad","2022-03-01",403992,271031,NA,NA,NA,NA,9.4,"Africa","NF",6,14
"Chile","2022-03-01",48750980,17798028,19116209,93.1043806855219,93.1043806855219,2.5502430947475,4.7,"Americas","F",16,56
"China","2022-03-01",3129845000,1269302000,1404676330,90.3625962003645,90.3625962003645,2.22816098851755,8.2,"Asia","NF",1,11
"Colombia","2022-03-01",76733198,41253498,50882884,81.0753926605261,81.0753926605261,1.50803555081508,5.6,"Americas","PF",12,35
"Comoros","2022-03-01",637961,341102,NA,NA,NA,NA,7.9,"Africa","PF",8,26
"Congo Democratic Republic","2022-03-01",850731,754459,NA,NA,NA,NA,9.3,"Africa","NF",7,15
"Congo Republic","2022-03-01",812761,675865,NA,NA,NA,NA,9.1,"Africa","NF",6,15
"Costa Rica","2022-03-01",9349535,4195968,5094114,82.3689458068665,82.3689458068665,1.83536037866447,1.2,"Americas","F",16,53
"Cote d'Ivoire","2022-03-01",9558981,5812567,26378275,22.035432567141,22.035432567141,0.362380822855172,7.8,"Africa","PF",10,30
"Croatia","2022-03-01",5195726,2306861,4105268,56.1927016701467,56.1927016701467,1.2656240713152,2.4,"Europe","F",13,49
"Cuba","2022-03-01",35001661,10609335,NA,NA,NA,NA,7.5,"Americas","NF",4,11
"Cyprus","2022-03-01",1773485,659912,1207361,54.6573891321651,54.6573891321651,1.46889372772518,3.7,"Europe","F",15,55
"Denmark","2022-03-01",13001362,4776967,5792203,82.4723684580806,82.4723684580806,2.24463161943737,0.3,"Europe","F",16,57
"Djibouti","2022-03-01",160742,140287,NA,NA,NA,NA,8.5,"Africa","NF",6,19
"Dominica","2022-03-01",61649,32113,71991,44.6069647594838,44.6069647594838,0.856343154005362,NA,"Americas","F",15,56
"Dominican Republic","2022-03-01",15252198,7119929,10847904,65.6341446236987,65.6341446236987,1.40600414605439,5.7,"Americas","PF",14,41
"Ecuador","2022-03-01",31989116,14774659,17643060,83.7420436137495,83.7420436137495,1.81312742800852,5.8,"Americas","F",13,40
"Egypt","2022-03-01",70684545,40772051,102334403,39.8419786550179,39.8419786550179,0.690721232819426,8.6,"Africa","NF",3,12
"El Salvador","2022-03-01",10234262,4569063,6486201,70.4428216146863,70.4428216146863,1.57785150352263,4.9,"Americas","PF",11,33
"Equatorial Guinea","2022-03-01",463549,257526,1402985,18.3555775721052,18.3555775721052,0.330401964383083,9.8,"Africa","NF",2,5
"Estonia","2022-03-01",1954093,857272,1326539,64.6247113729789,64.6247113729789,1.47307617793371,1.2,"Europe","F",16,56
"Eswatini","2022-03-01",490899,380363,NA,NA,NA,NA,NA,"Africa","NF",5,16
"Ethiopia","2022-03-01",24278976,19881897,NA,NA,NA,NA,8.5,"Africa","NF",4,11
"Fiji","2022-03-01",1287727,667739,NA,NA,NA,NA,5.8,"Asia","PF",11,35
"Finland","2022-03-01",11443055,4458538,5540718,80.4685963082763,80.4685963082763,2.06526572909865,0.3,"Europe","F",16,60
"France","2022-03-01",141493030,54337629,65273512,83.2460631197537,83.2460631197537,2.16769445468171,1.1,"Europe","F",14,51
"Gabon","2022-03-01",545642,277616,NA,NA,NA,NA,7.8,"Africa","NF",7,18
"Georgia","2022-03-01",2820546,1573695,NA,NA,NA,NA,8.3,"Eurasia","PF",9,36
"Germany","2022-03-01",174299649,64400625,83783945,76.8651141934174,76.8651141934174,2.08034664636524,0.4,"Europe","F",14,55
"Ghana","2022-03-01",12637542,8793591,31072945,28.2998312519138,28.2998312519138,0.406705640550003,3.2,"Africa","F",14,45
"Greece","2022-03-01",20147246,7858917,10423056,75.3993550451998,75.3993550451998,1.9329499908664,5.8,"Europe","F",14,50
"Grenada","2022-03-01",85891,42971,112519,38.1899945786934,38.1899945786934,0.763346634790569,4,"Americas","F",15,52
"Guatemala","2022-03-01",14535479,7184896,17915567,40.1042065819072,40.1042065819072,0.811332345775046,6.6,"Americas","PF",11,30
"Guinea","2022-03-01",5497389,3382832,13132792,25.7586657886609,25.7586657886609,0.41860017275839,10,"Africa","NF",10,24
"Guinea Bissau","2022-03-01",556675,514401,NA,NA,NA,NA,9,"Africa","PF",10,26
"Guyana","2022-03-01",808206,431597,786559,54.8715353838682,54.8715353838682,1.02752113954579,4.5,"Americas","F",15,43
